Area,Component,Feature,Source files,Test method,Execution evidence,Result,Environment,Limitations,Bug ID,Final tag,Final source SHA,Fresh release/provider run
Pipeline,Scoring,Provider-backed scoring and clip ledger,pipeline/clipgauge_pipeline/scoring/*,full pytest provider adversarial and custom mock,v021-evidence/final-gates/python_pytest.log; provider-adversarial.log; custom-provider/summary.tsv,VERIFIED BY DETERMINISTIC TEST,Linux x86_64,No live cloud completion,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Pipeline,Camera,Reframing cut pan locked and trajectories,pipeline/clipgauge_pipeline/camera/* pipeline/clipgauge_pipeline/vendor/clippyme/*,static review unit suite,az-verification/evidence/media-inventory/camera-source-clean.txt; clean-gates/python_pytest.log,VERIFIED BY STATIC INSPECTION,Linux x86_64,Face/model end-to-end cases blocked,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Pipeline,Captions,ASS caption engine and actual presets,pipeline/clipgauge_pipeline/captions/*,source inventory static inspection,az-verification/evidence/media-inventory/captions-source-clean.txt,VERIFIED BY STATIC INSPECTION,Linux x86_64,No full render for each preset,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Pipeline,Rendering,FFmpeg rendering and output artifacts,pipeline/clipgauge_pipeline/render/*,ffmpeg fixture generation ffprobe source review,az-verification/evidence/media-fixtures-ffprobe.jsonl,VERIFIED BY DETERMINISTIC TEST,Linux x86_64,ClipGauge render stage depends on blocked model stages,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Pipeline,Editor,Bounds trim reframing captions overlays rerender reset,pipeline/clipgauge_pipeline/edits/* app/src-tauri/src/edit_schema.rs app/src/components/ClipEditor.tsx,Rust edit tests migration harness static inspection,v021-evidence/final-gates/rust_test.log; migration-harness.log,VERIFIED BY DETERMINISTIC TEST,Linux x86_64,No manual desktop editor flow,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Pipeline,Exports,Managed MP4 export and Downloads restriction,app/src-tauri/src/artifact.rs main.rs, Rust tests static inspection,v021-evidence/final-gates/rust_test.log,VERIFIED BY DETERMINISTIC TEST,Linux x86_64,No completed render artifact for manual export,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Jobs,Queue,Job creation leases checkpoints stage cache,pipeline/clipgauge_pipeline/jobs/*,focused queue tests,az-verification/evidence/focused-tests/queue.log,VERIFIED BY DETERMINISTIC TEST,Linux x86_64,No full desktop scheduler run,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Jobs,Cancellation,Process-group cancellation and terminal state,app/src-tauri/src/process_manager.rs main.rs,focused Rust tests source inspection,v021-evidence/final-gates/rust_test.log; processes-after-input.txt,VERIFIED BY DETERMINISTIC TEST,Linux x86_64,Real UI cancellation during each stage not executed,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Jobs,Resume,Checkpoint resume after failure,pipeline/clipgauge_pipeline/jobs/* app/src-tauri/src/main.rs,focused queue tests static inspection,az-verification/evidence/focused-tests/queue.log,VERIFIED BY DETERMINISTIC TEST,Linux x86_64,Force-close desktop restart not executed,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Jobs,Stale recovery,Lease reconciliation,pipeline/clipgauge_pipeline/jobs/* app/src-tauri/src/process_manager.rs,queue/Rust tests,az-verification/evidence/focused-tests/queue.log; rust_test.log,VERIFIED BY DETERMINISTIC TEST,Linux x86_64,No live process crash/restart,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Jobs,Concurrency,Duplicate heavy-job rejection,pipeline/clipgauge_pipeline/jobs/* app/src-tauri/src/process_manager.rs,queue/Rust tests,az-verification/evidence/focused-tests/queue.log; rust_test.log,VERIFIED BY DETERMINISTIC TEST,Linux x86_64,No double-click UI execution,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Jobs,Checkpoint corruption,Malformed stage and artifact recovery,pipeline/tests/test_queue.py app/src-tauri/src/artifact.rs,focused queue/Rust tests,az-verification/evidence/focused-tests/queue.log; rust_test.log,VERIFIED BY DETERMINISTIC TEST,Linux x86_64,Controlled fixtures only,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Security,Filesystem security,Traversal symlink absolute path job/export validation,pipeline/clipgauge_pipeline/jobs app/src-tauri/src/path_security.rs artifact.rs edit_schema.rs,focused tests static review,az-verification/evidence/focused-tests/queue.log; rust_test.log,VERIFIED BY DETERMINISTIC TEST,Linux x86_64,Windows drive/UNC live cases unavailable,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Security,IPC and CSP,Restrictive Tauri CSP asset scope IPC,app/tauri.conf.json app/src/securityConfig.test.ts,frontend tests source inspection,v021-evidence/final-gates/frontend_test.log,VERIFIED BY DETERMINISTIC TEST,Linux x86_64,No browser exploit attempt,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Security,Provider URLs,HTTPS loopback HTTP dangerous schemes credentials/query secrets,pipeline/clipgauge_pipeline/scoring/providers.py,provider tests adversarial custom mock,v021-evidence/security-regression/provider-adversarial.log; custom-provider/url-policy.log,VERIFIED BY DETERMINISTIC TEST,Linux x86_64,No external endpoint mutation,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Security,Redirects,No authenticated redirect following,providers.py,provider tests adversarial mock,v021-evidence/security-regression/provider-adversarial.log,VERIFIED BY DETERMINISTIC TEST,Linux x86_64,Controlled responses only,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Security,Secrets vault,OS keyring provider-scoped credentials and migration,app/src-tauri/src/secrets.rs, Rust tests source inspection,v021-evidence/final-gates/rust_test.log; migration-hits.txt,VERIFIED BY DETERMINISTIC TEST,Linux x86_64,Actual Windows keyring behavior blocked,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Security,Diagnostics redaction,Token/query/custom secret redaction bounded logs,app/src-tauri/src/diagnostics.rs pipeline/clipgauge_pipeline/protocol.py,Rust/Python tests source inspection,v021-evidence/final-gates/rust_test.log; focused-tests/protocol.log,VERIFIED BY DETERMINISTIC TEST,Linux x86_64,Full support-bundle generation not invoked,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Security,Support bundle,Redacted metadata and diagnostic tails,app/src-tauri/src/main.rs diagnostics.rs,source review and Rust tests,v021-evidence/final-gates/rust_test.log,VERIFIED BY STATIC INSPECTION,Linux x86_64,No live bundle generated through Tauri UI,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Provider,Gemini,Native adapter text JSON schema vision model listing failures,providers.py,architecture inspection deterministic contracts live workflow,v021-evidence/security-regression/provider-adversarial.log; live-provider-status.tsv,MOCK PASS + BLOCKED LIVE,Linux/GitHub Ubuntu 22.04,No credential configured; no live inference,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Provider,OpenRouter,openrouter/free compatible adapter and capability behavior,providers.py provider-live workflow,deterministic contracts live workflow,v021-evidence/security-regression/provider-adversarial.log; live-provider-status.tsv,MOCK PASS + BLOCKED LIVE,Linux/GitHub Ubuntu 22.04,No credential configured; no live inference,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Provider,Groq,Compatible endpoint auth retries schema capability,providers.py provider-live workflow,deterministic contracts live workflow,v021-evidence/security-regression/provider-adversarial.log; live-provider-status.tsv,MOCK PASS + BLOCKED LIVE,Linux/GitHub Ubuntu 22.04,No credential configured; no live inference,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Provider,Cloudflare Workers AI,Account endpoint token model and capability,providers.py provider-live workflow,static/contract inspection live workflow,v021-evidence/security-regression/provider-adversarial.log; live-provider-status.tsv,MOCK PASS + BLOCKED LIVE,Linux/GitHub Ubuntu 22.04,Token and endpoint absent; no live inference,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Provider,Hugging Face,Compatible router auth model schema capability,providers.py provider-live workflow,static/contract inspection live workflow,v021-evidence/security-regression/provider-adversarial.log; live-provider-status.tsv,MOCK PASS + BLOCKED LIVE,Linux/GitHub Ubuntu 22.04,No credential configured; no live inference,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Provider,Cerebras,Compatible text-only curated default auth/retry,providers.py provider-live workflow,static/contract inspection live workflow,v021-evidence/security-regression/provider-adversarial.log; live-provider-status.tsv,MOCK PASS + BLOCKED LIVE,Linux/GitHub Ubuntu 22.04,No credential configured; no live inference,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Provider,Ollama,Loopback model discovery text JSON vision degradation,providers.py preflight.py,deterministic tests preflight,v021-evidence/final-gates/python_pytest.log; cli/preflight_local.log,BLOCKED LIVE,Linux x86_64,Ollama executable/server absent; no model download,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Provider,LM Studio,Loopback OpenAI-compatible model discovery and setup,providers.py preflight.py Studio.tsx,deterministic tests source inspection,v021-evidence/final-gates/python_pytest.log; environment.txt,BLOCKED LIVE,Linux x86_64,LM Studio absent,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Provider,Custom OpenAI-compatible,Auth modes model listing structured JSON vision timeout URL safety,providers.py CLI,local mock server real CLI and adversarial tests,v021-evidence/security-regression/summary.tsv; provider-adversarial.log,VERIFIED BY DETERMINISTIC TEST,Linux x86_64,Vision CLI default profile is capability-dependent; adapter vision path tested with mock profile,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Runtime,Models and runtime manifest,Pinned yt-dlp and model hashes/runtime preparation,runtime.py models/*,preflight and bounded job,az-verification/evidence/cli/preflight_custom.log; performance/job.log,BLOCKED,Linux x86_64,Required model/runtime assets not installed,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Runtime,FFmpeg,FFmpeg/ffprobe availability and subtitles filter,render/ffmpeg_bin.py ingest/normalize.py,command/version synthetic fixtures,az-verification/evidence/environment.txt; media-fixtures-ffprobe.jsonl,VERIFIED,Linux x86_64,Packaged-resource binary not separately installed,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Runtime,yt-dlp,URL metadata/download/progress,pipeline/clipgauge_pipeline/ingest/ytdlp.py,preflight and static inspection,az-verification/evidence/environment.txt; cli/preflight_custom.log,BLOCKED,Linux x86_64,yt-dlp executable absent and no URL test attempted,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Integration,Pexels,Optional visual lookup credentials/errors,edits/visuals.py app/src/components/KeyModal.tsx,focused credentials tests static inspection,az-verification/evidence/focused-tests/credentials.log,BLOCKED LIVE,Linux x86_64,No secure owner credential; no external request,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Integration,Instagram Meta,OAuth loop media metrics calibration,insights/instagram.py app/src/components/IgModal.tsx Loop.tsx,focused deterministic tests static inspection,az-verification/evidence/focused-tests/credentials.log; insights.log,BLOCKED LIVE,Linux x86_64,No owner Meta credential; no publishing performed,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Privacy,Activity disclosure,Local/cloud provider destination and telemetry disclosure,main.rs privacy_summary Studio.tsx,source inspection frontend tests,v021-evidence/final-gates/frontend_test.log; main.rs source review,VERIFIED BY STATIC INSPECTION,Linux x86_64,Interactive privacy-flow not executed,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Privacy,Offline behavior,Local video/local provider versus URL/cloud behavior,preflight.py ingest ytdlp.py providers.py,preflight and static inspection,az-verification/evidence/cli/preflight_local.log,BLOCKED,Linux x86_64,No installed local provider/model and no network isolation test,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Privacy,Third-party data boundary,Provider/Pexels/Meta/URL disclosure,privacy_summary providers.py integrations,static inspection,az-verification/evidence/secret-and-vault-search.txt,VERIFIED BY STATIC INSPECTION,Linux x86_64,No live external requests,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Migration,Settings migration,v0.1.x Gemini/Ollama to provider snapshots,config.py providers.py, fresh migration harness and tests,az-verification/evidence/migration-harness.log; focused-tests/provider.log,VERIFIED BY DETERMINISTIC TEST,Linux x86_64,OS keyring/data-tree migration not directly invoked,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Migration,Legacy data tree,.publikclip copy marker collision symlink behavior,main.rs secrets.rs,source inspection Rust tests,az-verification/evidence/migration-hits.txt; clean-gates/rust_test.log,VERIFIED BY STATIC INSPECTION,Linux x86_64,Actual desktop startup migration not exercised,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Branding,Rebrand,Current-tree legacy occurrence classification,README NOTICE ORIGIN code and docs,whole-tree grep static classification,az-verification/evidence/rebrand/all-rebrand-occurrences.txt,VERIFIED BY STATIC INSPECTION,Linux x86_64,No installer UI on Windows,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Licensing,AGPL and provenance,License notices origin third-party attribution,LICENSE NOTICE.md ORIGIN.md THIRD_PARTY_NOTICES.md About.tsx,source/documentation inspection,az-verification/evidence/tracked-files.txt,VERIFIED BY STATIC INSPECTION,Linux x86_64,Not legal advice,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Documentation,User/provider docs,Install troubleshooting provider research release docs,README.md INSTALL.md TROUBLESHOOTING.md docs/*,command/help/version comparison and static review,az-verification/evidence/cli/all-cli-output.txt; tracked-files.txt,VERIFIED BY STATIC INSPECTION,Linux x86_64,`--version` is not implemented by current CLI; see AZ-002,AZ-002,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
CI,GitHub Actions,CI Windows macOS provider smoke release secret scan,.github/workflows/*.yml,public workflow records static audit,az-verification/evidence/workflows/main-runs-summary.txt; provider-live-workflow.txt,VERIFIED,Linux/GitHub,Historical cancelled/failed attempts remain in public history but current main is green,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Release,Linux package,Debian package type checksum release record,release v0.2.0,download file dpkg-deb checksum,az-verification/release-verify-v020/checksum-verification.txt; linux-package-info.txt,VERIFIED,Linux x86_64,Unsigned package,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Release,Windows installer,NSIS asset checksum and PE type,release v0.2.0,download file checksum,az-verification/release-verify-v020/checksum-verification.txt; package-file-types.txt,BLOCKED,Linux x86_64,Windows execution/install/uninstall unavailable; unsigned SmartScreen expected,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Release,SBOM provenance attestation,Release metadata integrity,release assets,download jq/metadata inspection,az-verification/release-verify-v020/sbom-validation.txt; provenance-summary.txt,VERIFIED,Linux x86_64,No platform signing/notarization claimed,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Performance,Observed resource run,Synthetic 5-second fixture bounded job,pipeline stages,resource-timed bounded execution,az-verification/evidence/performance/observed-resources.txt,BLOCKED,Linux x86_64,Run reached ingest/ASR but did not complete due missing assets; values are not universal,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Quality,Output quality,Clip selection captions framing audio and score reasoning,render/review/camera/captions,manual media review,No completed ClipGauge output available,BLOCKED,Linux x86_64,No end-to-end job completion and no fabricated quality claims,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Packaging,Windows install/uninstall,Fresh install reinstall uninstall user-data preservation,public Windows asset,OS installation test,No Windows execution evidence,BLOCKED,Linux x86_64,Windows OS unavailable,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Packaging,macOS qualification,ARM and Intel native qualification,macos workflow,public GitHub run audit,az-verification/evidence/workflows/main-runs-summary.txt,VERIFIED BY STATIC INSPECTION,GitHub macOS runners,No local macOS user experience or signing/notarization claim,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
Packaging,Desktop first run,Onboarding through job/edit/export/cancel/resume,App Tauri runtime,bounded Tauri launch browser-only inspection,az-verification/evidence/desktop-launch.log; ui-browser-observation.txt,BLOCKED,Linux x86_64,Launch succeeded but interactive bridge flow not completed,,v0.2.1,092922c6d79e64f0849bcdae98852e8829638d0c,32456398291
